,neighborhood,code,name,longitude,latitude,rental_methods,capacity
77,Ville-Marie,6084,Duke / Brennan,-73.55371087789534,45.495581350533946,"['KEY', 'CREDITCARD']",31.0
78,Ville-Marie,6085,Notre-Dame / Peel,-73.56328,45.4952,"['KEY', 'CREDITCARD']",47.0
79,Ville-Marie,6087,Notre-Dame / de la Montagne,-73.56481790542603,45.49302901258371,"['KEY', 'CREDITCARD']",27.0
80,Ville-Marie,6090,Métro Lucien-L'Allier  (Lucien l'Allier / Argyle),-73.57112377882004,45.49487159597493,"['KEY', 'CREDITCARD']",17.0
81,Ville-Marie,6091,Joseph-Manseau / René-Lévesque,-73.57676714658737,45.49168652100804,"['KEY', 'CREDITCARD']",19.0
82,Ville-Marie,6092,Crescent / Ste-Catherine,-73.57554942369461,45.49709201687824,"['KEY', 'CREDITCARD']",31.0
83,Ville-Marie,6093,Atwater / Sherbrooke,-73.58763009309769,45.4912258547597,"['KEY', 'CREDITCARD']",23.0
84,Ville-Marie,6095,Chomedey / de Maisonneuve,-73.58400642871855,45.49180027678722,"['KEY', 'CREDITCARD']",19.0
85,Ville-Marie,6096,Lucien L'Allier / St-Jacques,-73.56857568025589,45.49356916133978,"['KEY', 'CREDITCARD']",23.0
86,Ville-Marie,6097,Ste-Catherine / St-Marc,-73.58029425144196,45.492897397177465,"['KEY', 'CREDITCARD']",31.0
87,Ville-Marie,6098,Bishop / Ste-Catherine,-73.5765016078949,45.49658329569871,"['KEY', 'CREDITCARD']",27.0
88,Ville-Marie,6099,Ste-Catherine / Labelle,-73.55922952294348,45.51506508398211,"['KEY', 'CREDITCARD']",23.0
89,Ville-Marie,6100,Mackay / de Maisonneuve,-73.57851,45.49659,"['KEY', 'CREDITCARD']",35.0
90,Ville-Marie,6102,Lincoln / du Fort,-73.583836,45.493034,"['KEY', 'CREDITCARD']",11.0
91,Ville-Marie,6103,du Havre / Hochelaga,-73.55794072151183,45.535753085274585,"['KEY', 'CREDITCARD']",27.0
92,Ville-Marie,6104,Wolfe / René-Lévesque,-73.5541883111,45.51681750463149,"['KEY', 'CREDITCARD']",27.0
93,Ville-Marie,6105,Plessis / René-Lévesque,-73.55195805430411,45.51937252291976,"['KEY', 'CREDITCARD']",19.0
94,Ville-Marie,6106,Papineau / René-Lévesque,-73.54926,45.52114,"['KEY', 'CREDITCARD']",25.0
95,Ville-Marie,6107,St-Mathieu / Ste-Catherine,-73.57914626598358,45.49367956421703,"['KEY', 'CREDITCARD']",27.0
96,Ville-Marie,6108,Logan / Fullum,-73.55117082595825,45.52836601591233,"['KEY', 'CREDITCARD']",19.0
97,Ville-Marie,6109,Quai de la navette fluviale,-73.53838205337523,45.513741443172,"['KEY', 'CREDITCARD']",19.0
98,Ville-Marie,6110,Poupart / Ste-Catherine,-73.54619935154915,45.52900206660643,"['KEY', 'CREDITCARD']",19.0
99,Ville-Marie,6111,Parthenais / Ste-Catherine,-73.54886412620544,45.52600589494234,"['KEY', 'CREDITCARD']",23.0
100,Ville-Marie,6112,Montcalm / de Maisonneuve,-73.55786561965942,45.519139183741046,"['KEY', 'CREDITCARD']",19.0
101,Ville-Marie,6113,Alexandre-DeSève / Ste-Catherine,-73.55386108160019,45.52123044585842,"['KEY', 'CREDITCARD']",19.0
102,Ville-Marie,6114,Métro Papineau (Cartier / Ste-Catherine),-73.55199,45.52353,"['KEY', 'CREDITCARD']",25.0
