code,name,neighborhood,longitude,latitude,Capacity,Current_Bikes,recommended_adds,recommended_removals
6153,Cartier / Marie-Anne,Le Plateau-Mont-Royal,-73.571776,45.532674,10,8,0,0
6154,Marquette / du Mont-Royal,Le Plateau-Mont-Royal,-73.57544,45.53229,15,2,1,0
6155,Garnier / du Mont-Royal,Le Plateau-Mont-Royal,-73.57674,45.53092,20,11,0,0
6156,Marie-Anne / de la Roche,Le Plateau-Mont-Royal,-73.57618510723114,45.52775814390426,10,3,7,0
6157,de Brébeuf / du Mont-Royal,Le Plateau-Mont-Royal,-73.57815384864807,45.52940777616881,15,6,6,0
6158,Gilford / de Brébeuf,Le Plateau-Mont-Royal,-73.58162596821785,45.53081622781595,10,10,0,0
6159,Ann / Wellington,Le Sud-Ouest,-73.55675250291823,45.49452705626516,10,7,0,5
6160,Garnier / St-Joseph,Le Plateau-Mont-Royal,-73.58122229576111,45.5329774553515,15,5,5,0
6161,Cartier / St-Joseph,Le Plateau-Mont-Royal,-73.57869029045105,45.53582823686429,10,5,0,0
6162,Legendre / Henri-Julien,Ahuntsic-Cartierville,-73.64664673805237,45.54612387708119,5,3,0,0
6163,Marquette / Laurier,Le Plateau-Mont-Royal,-73.5822,45.53543,20,9,0,0
6164,de Lanaudière / Laurier,Le Plateau-Mont-Royal,-73.58373686671257,45.5333136054992,15,11,0,11
6165,Laurier / de Brébeuf,Le Plateau-Mont-Royal,-73.58481109142303,45.53251395631143,25,5,0,0
6166,Gerry-Boulet / St-Grégoire,Le Plateau-Mont-Royal,-73.589306473732,45.5337352275406,25,23,0,0
6167,Marquette / St-Grégoire,Le Plateau-Mont-Royal,-73.58584,45.53703,10,1,0,0
6168,Marmier / St-Denis,Rosemont-La Petite-Patrie,-73.59834551811218,45.530871318676006,20,9,11,0
6169,Boyer / du Mont-Royal,Le Plateau-Mont-Royal,-73.57991673052311,45.527432126380575,30,28,0,0
6170,de Mentana / Laurier,Le Plateau-Mont-Royal,-73.58763813972473,45.53045006508681,15,2,5,0
6171,Wolfe / Robin,Ville-Marie,-73.5601159930229,45.51958082831579,15,4,0,0
6173,Berri / Cherrier,Le Plateau-Mont-Royal,-73.56950908899307,45.51908844137639,45,4,12,0
6174,Roy / St-Denis,Le Plateau-Mont-Royal,-73.5727,45.51908,25,10,13,0
6175,St-Christophe / Cherrier,Le Plateau-Mont-Royal,-73.5682162642479,45.52027785033668,45,14,12,0
6176,de Mentana / Rachel,Le Plateau-Mont-Royal,-73.57555881142616,45.52496323980324,10,5,0,0
6177,St-Hubert / Duluth,Le Plateau-Mont-Royal,-73.57418417930603,45.52242565278864,10,10,0,0
6178,Rivard / Rachel,Le Plateau-Mont-Royal,-73.5775906,45.5222776,15,3,10,0
6179,Duluth / St-Denis,Le Plateau-Mont-Royal,-73.57598394155502,45.52060423232697,10,10,0,0
6180,St-Dominique / René-Lévesque,Ville-Marie,-73.56135785579681,45.5094183667176,15,12,0,9
