station_code,date,departures,arrivals,excess_arrivals
6328,2019-04-14,30,20,-10
6330,2019-04-14,17,18,1
6331,2019-04-14,5,7,2
6332,2019-04-14,12,9,-3
6333,2019-04-14,13,15,2
6334,2019-04-14,35,31,-4
6335,2019-04-14,15,14,-1
6336,2019-04-14,15,9,-6
6338,2019-04-14,14,11,-3
6339,2019-04-14,13,14,1
6340,2019-04-14,7,5,-2
6341,2019-04-14,12,11,-1
6343,2019-04-14,11,14,3
6344,2019-04-14,11,10,-1
6345,2019-04-14,5,4,-1
6347,2019-04-14,8,13,5
6349,2019-04-14,7,9,2
6350,2019-04-14,10,7,-3
6354,2019-04-14,10,11,1
6355,2019-04-14,11,6,-5
6356,2019-04-14,10,12,2
6357,2019-04-14,4,3,-1
6358,2019-04-14,5,5,0
6359,2019-04-14,15,17,2
6360,2019-04-14,8,5,-3
6361,2019-04-14,13,12,-1
6362,2019-04-14,10,11,1
6363,2019-04-14,12,4,-8
6364,2019-04-14,21,20,-1
6366,2019-04-14,15,8,-7
6367,2019-04-14,7,6,-1
6368,2019-04-14,15,21,6
6369,2019-04-14,14,15,1
6370,2019-04-14,12,10,-2
6371,2019-04-14,19,17,-2
6372,2019-04-14,35,38,3
6373,2019-04-14,14,10,-4
6374,2019-04-14,12,15,3
6375,2019-04-14,14,21,7
6376,2019-04-14,14,9,-5
6377,2019-04-14,14,17,3
6379,2019-04-14,8,7,-1
6380,2019-04-14,9,6,-3
6383,2019-04-14,12,10,-2
6384,2019-04-14,9,12,3
6385,2019-04-14,18,18,0
6386,2019-04-14,24,19,-5
6387,2019-04-14,27,25,-2
6388,2019-04-14,4,10,6
6389,2019-04-14,21,20,-1
6391,2019-04-14,19,32,13
6393,2019-04-14,9,11,2
6394,2019-04-14,21,35,14
6396,2019-04-14,31,46,15
6397,2019-04-14,39,40,1
6401,2019-04-14,18,28,10
6402,2019-04-14,19,22,3
6403,2019-04-14,11,12,1
6404,2019-04-14,8,9,1
6405,2019-04-14,19,28,9
6406,2019-04-14,60,77,17
6407,2019-04-14,9,13,4
6409,2019-04-14,4,4,0
6410,2019-04-14,9,11,2
6411,2019-04-14,30,31,1
6412,2019-04-14,4,3,-1
